,,16-18, ,19-21,  ,22-24,   ,Total
Total,100%,50053,100%,41651,100%,48043,100%,139735
Oy,6%,2805,17%,7284,18%,8728,13%,18817
Working Without A Diploma,1%,587,5%,2049,6%,2877,4%,5513
Not Oy,93%,46661,78%,32318,76%,36426,83%,115405
