,,16-18, ,19-21,  ,22-24,   ,Total
Total,100%,2805,100%,7284,100%,8728,100%,18817
No Diploma,57%,1610,28%,2048,23%,1981,30%,5639
Diploma,35%,985,46%,3349,35%,3067,39%,7401
Some College,6%,179,23%,1666,20%,1763,19%,3608
Degree,1%,31,3%,221,22%,1917,12%,2169
