,,16-18, ,19-21,  ,22-24,   ,Total
Total,100%,1815,100%,3902,100%,4897,100%,10614
No Diploma,50%,916,28%,1112,28%,1349,32%,3377
Diploma,43%,781,56%,2176,44%,2135,48%,5092
Some College,7%,118,13%,521,20%,1000,15%,1639
Degree,0%,0,2%,93,8%,413,5%,506
